Column1;Column2;Column3;Column4
ID195510300_2018-10-11_AfD.txt;Irrsinn das alles! Hinter der ;Genderideologie ;steht ein großer linker 
ID2013015600_2023-10-18_AfD.txt;meine Damen und Herren. Die ;Genderideologie ;stellt übrigens auch die 
ID21409200_2025-05-15_AfD.txt;verwirren. Also Schluss mit der ;Genderideologie! ;Unsere Kleinkinder sollten ihren 
ID1917707400_2020-09-18_AfD.txt;Gerechtigkeitsempfinden, das nicht von der ;Genderideologie ;verdorben worden ist. Sie 
ID209111400_2023-03-16_SPD.txt;Flyer oder Sticker gegen die ;Genderideologie ;verteilt werden oder wenn 
ID2021202100_2025-02-11_fraktionslos.txt;Klimaabkommen, drittens das Ende der ;Genderideologie, ;viertens das Ende der 
ID208202100_2023-01-26_AfD.txt;sogenannte feministische Außenpolitik oder Ihre ;Genderideologie ;weltweit implementieren. Aus diesen 
ID2011410700_2023-07-05_BÜNDNIS_90_DIE_GRÜNEN.txt;Coronaplandemie“. Aber auch die angebliche ;Genderideologie ;wird immer wieder beschworen. 
ID198402400_2019-02-22_DIE_LINKE.txt;übliche Geplärre von der angeblichen ;Genderideologie, ;wobei ich zugeben muss, 
ID2013015900_2023-10-18_BÜNDNIS_90_DIE_GRÜNEN.txt;scheint so besessen vom Thema „;Genderideologie“ ;zu sein wie die 
ID194407600_2018-07-03_AfD.txt;wozu insbesondere die Umsetzung der ;Genderideologie ;zählt. Dazu hat meine 
ID1920210400_2020-12-17_AfD.txt;Herren ansprechen? Aus Sicht der ;Genderideologie, ;über die wir heute 
ID1819910300_2016-11-10_SPD.txt;Programm: Es ist von Ideologie, ;Gender-Ideologie ;die Rede. Wo 
ID2015801100_2024-03-15_BÜNDNIS_90_DIE_GRÜNEN.txt;der Mobilisierung gegen eine angebliche ;Gender-Ideologie ;und leider auch 
ID191204000_2018-02-02_AfD.txt;auf demselben Gleichheitswahn wie die ;Gender-Ideologie. ;Versuchen wir uns 
ID19707100_2018-01-18_SPD.txt;Quote – ich zitiere einmal – die „;Gender-Ideologie“ ;für verfassungsfeindlich erklärt. 
